,translation
0,"{'prefix': 'translate Hinglish to English: ', 'input': 'batman vs superman', 'target': 'Batman vs Superman'}"
1,"{'prefix': 'translate Hinglish to English: ', 'input': 'Zack Snyder director hai, 27% Rotten Tomatoes, 4.9/10.', 'target': 'The director is Zack Snyder, 27% Rotten Tomatoes, 4.9/10.'}"
2,"{'prefix': 'translate Hinglish to English: ', 'input': 'lagta hai bahut popular nahi hai', 'target': 'Not very popular it seems'}"
3,"{'prefix': 'translate Hinglish to English: ', 'input': 'but audience ne like kiya, iska cinema score B hai', 'target': 'But the audiences liked it. It has a B cinema  score '}"
4,"{'prefix': 'translate Hinglish to English: ', 'input': 'yes', 'target': 'Yes'}"
5,"{'prefix': 'translate Hinglish to English: ', 'input': 'huge divergence  hai professioan critic ke opinion aur ruglar movie dekhne walo ke beech', 'target': 'There is a huge divergence between proffession al critical opinion and regular movie goers'}"
6,"{'prefix': 'translate Hinglish to English: ', 'input': 'maine to kabhi nahi dekha hai.', 'target': ""I've never seen it""}"
7,"{'prefix': 'translate Hinglish to English: ', 'input': 'mujhe difference pata hai', 'target': 'I know the difference. '}"
8,"{'prefix': 'translate Hinglish to English: ', 'input': 'Mujhe to believe hi nahi hota ki unhone Ben Affleck ko Bataman banaya.', 'target': ""I can't believe they used Ben Affleck as Batman""}"
9,"{'prefix': 'translate Hinglish to English: ', 'input': 'So Probably isko koi award nahi mila, but box office par isko badhiya karna tha', 'target': ""So it probably won't get any awards, but should have done well enough at the box office""}"
10,"{'prefix': 'translate Hinglish to English: ', 'input': 'bahut strange choice thi ye.', 'target': 'It was a strange choice'}"
11,"{'prefix': 'translate Hinglish to English: ', 'input': 'haan tho yeh 2016 me aaya', 'target': 'Well it was made in 2016'}"
12,"{'prefix': 'translate Hinglish to English: ', 'input': 'mein guess kartha hoon ki agar yeh accomplished fir se huva tho', 'target': ""I'm just guessing as to what it may have accomplished back then""}"
13,"{'prefix': 'translate Hinglish to English: ', 'input': 'probably aise kuch scores ab thak nahi aaya', 'target': 'Probably nothing with those scores'}"
14,"{'prefix': 'translate Hinglish to English: ', 'input': 'Box office mein tho iska itna important huva ki sabhi critics ko accept kiya aur blockbuster type ka movies banaya', 'target': 'The box office  gross is more important than critics acceptance for these blockbuster type movies'}"
15,"{'prefix': 'translate Hinglish to English: ', 'input': 'muje us new story line ko bilkul pasand nahi aaya', 'target': ""I don't like how they made a whole new story line.""}"
16,"{'prefix': 'translate Hinglish to English: ', 'input': 'voh tho itna ruined ho gaya', 'target': 'They ruined it for me'}"
17,"{'prefix': 'translate Hinglish to English: ', 'input': 'critics toh itna bekar nikla', 'target': 'although critics can affect word of mouth to an extent'}"
