,translation
0,"{'prefix': 'translate Hinglish to English: ', 'input': 'HI', 'target': 'HI'}"
1,"{'prefix': 'translate Hinglish to English: ', 'input': 'Hello', 'target': 'Hello'}"
2,"{'prefix': 'translate Hinglish to English: ', 'input': 'Tum kaise ho?', 'target': 'How are you doing /'}"
3,"{'prefix': 'translate Hinglish to English: ', 'input': '?', 'target': '?'}"
4,"{'prefix': 'translate Hinglish to English: ', 'input': '*', 'target': '*'}"
5,"{'prefix': 'translate Hinglish to English: ', 'input': 'I am doing well', 'target': 'Im doing well'}"
6,"{'prefix': 'translate Hinglish to English: ', 'input': 'Good', 'target': 'Good'}"
7,"{'prefix': 'translate Hinglish to English: ', 'input': 'Kya tumne Maleficent dekhi hai', 'target': 'Have you seen Maleficent?'}"
8,"{'prefix': 'translate Hinglish to English: ', 'input': 'Han bilkul', 'target': 'Yes ofcourse'}"
9,"{'prefix': 'translate Hinglish to English: ', 'input': 'wo bohat lovely hai', 'target': 'its so lovely'}"
10,"{'prefix': 'translate Hinglish to English: ', 'input': 'ye really achi hai', 'target': 'Its really good'}"
11,"{'prefix': 'translate Hinglish to English: ', 'input': 'iske baare mein tume kya acha laga', 'target': 'what do you like about it'}"
12,"{'prefix': 'translate Hinglish to English: ', 'input': 'CGI really good hai', 'target': 'The CGI is really good'}"
13,"{'prefix': 'translate Hinglish to English: ', 'input': 'aur storyline fantastic hai', 'target': 'and the storyline is fantastic'}"
14,"{'prefix': 'translate Hinglish to English: ', 'input': 'main really agree karta hun isse', 'target': 'i really agree with that'}"
15,"{'prefix': 'translate Hinglish to English: ', 'input': 'bilkul agree', 'target': 'totally agree'}"
16,"{'prefix': 'translate Hinglish to English: ', 'input': 'aur casting bhi', 'target': 'and also the casting'}"
17,"{'prefix': 'translate Hinglish to English: ', 'input': 'ye great story batati hai is baare mein ki kaise good intentions bad turn out kar sakte hain', 'target': 'It tells a great story about how good intentions can turn out bad'}"
18,"{'prefix': 'translate Hinglish to English: ', 'input': 'aur movie ke baki saare components great hain', 'target': 'and all other components of the movie is great'}"
19,"{'prefix': 'translate Hinglish to English: ', 'input': 'han ye Angelina Jolie ko star karti hai', 'target': 'yes it stars Angelina Joile'}"
20,"{'prefix': 'translate Hinglish to English: ', 'input': 'haan, yeh clean movie hein', 'target': 'yes its a clean movie'}"
21,"{'prefix': 'translate Hinglish to English: ', 'input': 'voh is role ke liye suitable hein', 'target': 'shes suitable for this role'}"
22,"{'prefix': 'translate Hinglish to English: ', 'input': 'isme tho yeh ache tarah pulled out kiya', 'target': 'she pulled it out really good'}"
23,"{'prefix': 'translate Hinglish to English: ', 'input': 'rotten tomatoes ne tho 51% score deya hein', 'target': 'It got a score of 51% on rotten tomatos'}"
24,"{'prefix': 'translate Hinglish to English: ', 'input': 'muje bhi kuch aise hi feel huva', 'target': 'i feel it should have been higher'}"
25,"{'prefix': 'translate Hinglish to English: ', 'input': 'haan', 'target': 'yes'}"
