,translation
0,"{'prefix': 'translate English to Hinglish: ', 'input': 'Batman vs Superman', 'target': 'batman vs superman'}"
1,"{'prefix': 'translate English to Hinglish: ', 'input': 'The director is Zack Snyder, 27% Rotten Tomatoes, 4.9/10.', 'target': 'Zack Snyder director hai, 27% Rotten Tomatoes, 4.9/10.'}"
2,"{'prefix': 'translate English to Hinglish: ', 'input': 'Not very popular it seems', 'target': 'lagta hai bahut popular nahi hai'}"
3,"{'prefix': 'translate English to Hinglish: ', 'input': 'But the audiences liked it. It has a B cinema  score ', 'target': 'but audience ne like kiya, iska cinema score B hai'}"
4,"{'prefix': 'translate English to Hinglish: ', 'input': 'Yes', 'target': 'yes'}"
5,"{'prefix': 'translate English to Hinglish: ', 'input': 'There is a huge divergence between proffession al critical opinion and regular movie goers', 'target': 'huge divergence  hai professioan critic ke opinion aur ruglar movie dekhne walo ke beech'}"
6,"{'prefix': 'translate English to Hinglish: ', 'input': ""I've never seen it"", 'target': 'maine to kabhi nahi dekha hai.'}"
7,"{'prefix': 'translate English to Hinglish: ', 'input': 'I know the difference. ', 'target': 'mujhe difference pata hai'}"
8,"{'prefix': 'translate English to Hinglish: ', 'input': ""I can't believe they used Ben Affleck as Batman"", 'target': 'Mujhe to believe hi nahi hota ki unhone Ben Affleck ko Bataman banaya.'}"
9,"{'prefix': 'translate English to Hinglish: ', 'input': ""So it probably won't get any awards, but should have done well enough at the box office"", 'target': 'So Probably isko koi award nahi mila, but box office par isko badhiya karna tha'}"
10,"{'prefix': 'translate English to Hinglish: ', 'input': 'It was a strange choice', 'target': 'bahut strange choice thi ye.'}"
11,"{'prefix': 'translate English to Hinglish: ', 'input': 'Well it was made in 2016', 'target': 'haan tho yeh 2016 me aaya'}"
12,"{'prefix': 'translate English to Hinglish: ', 'input': ""I'm just guessing as to what it may have accomplished back then"", 'target': 'mein guess kartha hoon ki agar yeh accomplished fir se huva tho'}"
13,"{'prefix': 'translate English to Hinglish: ', 'input': 'Probably nothing with those scores', 'target': 'probably aise kuch scores ab thak nahi aaya'}"
