,translation
0,"{'prefix': 'translate English to Hinglish: ', 'input': 'HI', 'target': 'HI'}"
1,"{'prefix': 'translate English to Hinglish: ', 'input': 'Hello', 'target': 'Hello'}"
2,"{'prefix': 'translate English to Hinglish: ', 'input': 'How are you doing /', 'target': 'Tum kaise ho?'}"
3,"{'prefix': 'translate English to Hinglish: ', 'input': '?', 'target': '?'}"
4,"{'prefix': 'translate English to Hinglish: ', 'input': '*', 'target': '*'}"
5,"{'prefix': 'translate English to Hinglish: ', 'input': 'Im doing well', 'target': 'I am doing well'}"
6,"{'prefix': 'translate English to Hinglish: ', 'input': 'Good', 'target': 'Good'}"
7,"{'prefix': 'translate English to Hinglish: ', 'input': 'Have you seen Maleficent?', 'target': 'Kya tumne Maleficent dekhi hai'}"
8,"{'prefix': 'translate English to Hinglish: ', 'input': 'Yes ofcourse', 'target': 'Han bilkul'}"
9,"{'prefix': 'translate English to Hinglish: ', 'input': 'its so lovely', 'target': 'wo bohat lovely hai'}"
10,"{'prefix': 'translate English to Hinglish: ', 'input': 'Its really good', 'target': 'ye really achi hai'}"
11,"{'prefix': 'translate English to Hinglish: ', 'input': 'what do you like about it', 'target': 'iske baare mein tume kya acha laga'}"
12,"{'prefix': 'translate English to Hinglish: ', 'input': 'The CGI is really good', 'target': 'CGI really good hai'}"
13,"{'prefix': 'translate English to Hinglish: ', 'input': 'and the storyline is fantastic', 'target': 'aur storyline fantastic hai'}"
14,"{'prefix': 'translate English to Hinglish: ', 'input': 'i really agree with that', 'target': 'main really agree karta hun isse'}"
15,"{'prefix': 'translate English to Hinglish: ', 'input': 'totally agree', 'target': 'bilkul agree'}"
16,"{'prefix': 'translate English to Hinglish: ', 'input': 'and also the casting', 'target': 'aur casting bhi'}"
17,"{'prefix': 'translate English to Hinglish: ', 'input': 'It tells a great story about how good intentions can turn out bad', 'target': 'ye great story batati hai is baare mein ki kaise good intentions bad turn out kar sakte hain'}"
18,"{'prefix': 'translate English to Hinglish: ', 'input': 'and all other components of the movie is great', 'target': 'aur movie ke baki saare components great hain'}"
19,"{'prefix': 'translate English to Hinglish: ', 'input': 'yes it stars Angelina Joile', 'target': 'han ye Angelina Jolie ko star karti hai'}"
20,"{'prefix': 'translate English to Hinglish: ', 'input': 'yes its a clean movie', 'target': 'haan, yeh clean movie hein'}"
