,translation
0,"{'prefix': 'translate English to Hinglish: ', 'input': 'HI', 'target': 'HI'}"
1,"{'prefix': 'translate English to Hinglish: ', 'input': 'Hello', 'target': 'Hello'}"
2,"{'prefix': 'translate English to Hinglish: ', 'input': 'How are you doing /', 'target': 'Tum kaise ho?'}"
3,"{'prefix': 'translate English to Hinglish: ', 'input': '?', 'target': '?'}"
4,"{'prefix': 'translate English to Hinglish: ', 'input': '*', 'target': '*'}"
5,"{'prefix': 'translate English to Hinglish: ', 'input': 'Im doing well', 'target': 'I am doing well'}"
6,"{'prefix': 'translate English to Hinglish: ', 'input': 'Good', 'target': 'Good'}"
7,"{'prefix': 'translate English to Hinglish: ', 'input': 'Have you seen Maleficent?', 'target': 'Kya tumne Maleficent dekhi hai'}"
8,"{'prefix': 'translate English to Hinglish: ', 'input': 'Development', 'target': 'HI'}"
9,"{'prefix': 'translate English to Hinglish: ', 'input': 'Hello.', 'target': 'Hello'}"
10,"{'prefix': 'translate English to Hinglish: ', 'input': 'How are you?', 'target': 'Tum kaise ho?'}"
11,"{'prefix': 'translate English to Hinglish: ', 'input': '- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.', 'target': '?'}"
12,"{'prefix': 'translate English to Hinglish: ', 'input': '- NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO, NO.', 'target': '*'}"
13,"{'prefix': 'translate English to Hinglish: ', 'input': '- I did good.', 'target': 'I am doing well'}"
14,"{'prefix': 'translate English to Hinglish: ', 'input': 'Well done.', 'target': 'Good'}"
15,"{'prefix': 'translate English to Hinglish: ', 'input': 'H.I.', 'target': 'HI'}"
16,"{'prefix': 'translate English to Hinglish: ', 'input': 'What?', 'target': '?'}"
17,"{'prefix': 'translate English to Hinglish: ', 'input': ""I'm doing great."", 'target': 'I am doing well'}"
18,"{'prefix': 'translate English to Hinglish: ', 'input': 'All right.', 'target': 'Good'}"
19,"{'prefix': 'translate English to Hinglish: ', 'input': 'Yes ofcourse', 'target': 'Han bilkul'}"
